I
640 Version - Iran FIR custom airways (from AIP, generated)
UKITA  33.115833   50.011389 IMKEN  31.735278   49.603056 1 160 600 B417
IMKEN  31.735278   49.603056 MAH    30.556111   49.149444 1 140 600 B417
MAH    30.556111   49.149444 UKNAR  29.927222   49.080556 1 100 600 B417
UKNAR  29.927222   49.080556 TULAX  29.648056   49.050278 1 150 600 B417
KER    30.282778   56.942222 ALGUV  30.783889   56.959444 1 160 600 B418
ALGUV  30.783889   56.959444 PURBO  31.229444   56.975556 1 160 600 B418
PURBO  31.229444   56.975556 DAR    31.783056   56.994444 1 160 600 B418
DAR    31.783056   56.994444 NADSA  32.243889   57.833889 1 150 600 B418
NADSA  32.243889   57.833889 IMPAT  32.414167   58.148889 1 150 600 B418
IMPAT  32.414167   58.148889 BJD    32.972222   59.200000 1 150 600 B418
BJD    32.972222   59.200000 PAMTU  35.168333   61.135000 1 260 600 B418
OTRUZ  36.518889   61.165556 ALMUX  36.460000   60.855833 1 110 600 B441
ALMUX  36.460000   60.855833 MSD    36.231111   59.650556 1 110 600 B441
MSD    36.231111   59.650556 NOTSO  35.237778   59.509444 1 140 600 B441
NOTSO  35.237778   59.509444 ASVIS  33.775833   59.307778 1 140 600 B441
ASVIS  33.775833   59.307778 BOPEB  33.320278   59.246667 1 140 600 B441
BOPEB  33.320278   59.246667 BJD    32.972222   59.200000 1 140 600 B441
BJD    32.972222   59.200000 KUVAV  31.573889   58.963056 1 280 600 B441
KUVAV  31.573889   58.963056 BOPAG  30.736944   58.824722 1 280 600 B441
BOPAG  30.736944   58.824722 SILKO  29.932778   58.693889 1 280 600 B441
SILKO  29.932778   58.693889 NABOX  28.275000   58.433611 1 280 600 B441
DHN    35.254167   52.720000 RAPKI  35.581667   53.368889 1 180 600 B451
RAPKI  35.581667   53.368889 ITMEL  36.124722   54.470000 1 180 600 B451
ITMEL  36.124722   54.470000 SHR    36.422778   55.088611 1 180 600 B451
SHR    36.422778   55.088611 LOVEN  36.657222   55.565278 1 180 600 B451
LOVEN  36.657222   55.565278 RIBOB  37.284722   56.873889 1 180 600 B451
RIBOB  37.284722   56.873889 BRD    37.495000   57.323056 1 180 600 B451
BRD    37.495000   57.323056 DEBER  37.835000   58.033333 1 130 600 B451
LAR    27.675000   54.415000 NABEX  27.199167   54.226111 1 100 600 B541
NABEX  27.199167   54.226111 DELBU  26.843056   54.081111 1 100 600 B541
DELBU  26.843056   54.081111 KIS    26.528889   53.953611 1 100 600 B541
KIS    26.528889   53.953611 VEKEL  26.324722   53.955833 1 050 600 B541
PRG    27.360278   52.764444 LVA    26.811944   53.355833 1 080 600 B547
LVA    26.811944   53.355833 ALNOL  26.685000   53.625000 1 060 600 B547
ALNOL  26.685000   53.625000 KIS    26.528889   53.953611 1 060 600 B547
KIS    26.528889   53.953611 UKVUP  26.327778   54.148611 1 050 600 B547
UKVUP  26.327778   54.148611 IBNUX  26.274722   54.195278 1 050 600 B547
IBNUX  26.274722   54.195278 SIR    25.914444   54.535000 1 050 600 B547
ABD    30.375278   48.220556 IBSAL  30.108611   48.735000 1 030 600 G55
