I
610 Version - Iran FIR custom (from AIP, generated)
  35.290000   46.156667 BOXIX
  37.495000   57.323056 BRD
  33.992778   47.603333 BUBAV
  35.506389   52.803889 BUBUX
  37.886944   47.342222 BUDED
  28.951111   50.825833 BUZ
  25.444722   60.414167 CBH
  37.438611   47.755833 DAMOS
  36.333611   51.402222 DANEB
  32.481667   55.121389 DANEM
  29.775000   60.431667 DAPAP
  32.857222   48.699722 DAPEM
  25.756111   54.958611 DAPER
  32.931667   48.431389 DAPIK
  34.342778   57.070278 DAPIN
  33.628889   52.391944 DAPOG
  30.545833   55.791111 DAPOX
  31.783056   56.994444 DAR
  32.162222   48.878889 DARON
  38.560833   46.709722 DARUN
  37.083611   54.743333 DASBU
  38.693056   46.870556 DASDA
  28.900278   52.097500 DASDO
  37.110000   52.461389 DASEL
  38.909722   44.208333 DASIS
  26.308889   53.185556 DASUT
  36.788056   53.785000 DATOL
  26.558889   53.593889 DATUT
  27.707222   57.335833 DAVEP
  35.949167   50.566944 DAVMI
  30.037222   55.383611 DAVUT
  34.859722   49.581667 DAXIL
  37.835000   58.033333 DEBER
  30.933333   53.577500 DEDAK
  36.938889   50.012222 DEDLA
  34.362500   50.142222 DEKBA
  26.843056   54.081111 DELBU
  35.936389   51.753056 DEMBA
  30.288056   48.724722 DEMPO
  24.706667   60.914167 DENDA
  26.532778   54.488889 DENSA
  35.533056   51.540833 DENVU
  28.569167   51.846389 DEPSU
  29.428333   61.283611 DERBO
  30.760556   54.962222 DESLA
  32.437778   48.378056 DEZFU
  35.254167   52.720000 DHN
  36.648056   53.188889 DNZ
  27.889722   55.134167 DOBAS
  26.670556   59.575278 DUGLI
  38.950000   45.633333 DULAV
  27.205278   52.028889 DURSI
  32.437778   48.378056 DZF
  25.937222   60.498333 EGLES
  37.401944   56.815278 EGLUL
  37.053056   50.307500 EGMAN
  26.561111   53.140278 EGMIT
  25.668333   59.923611 EGNUX
  32.558333   51.402500 EGPAT
  25.869444   60.126944 EGPER
  25.136389   60.625000 EGPIC
  32.816944   57.262500 EGPOD
  30.815278   57.528889 EGRES
  25.078889   61.545833 EGRON
  37.089167   49.062500 EGRUD
  29.770833   51.459722 EGSIR
  34.589722   51.753611 EGTOS
  31.726944   49.133889 EGVAX
  34.716111   50.501389 EGVEL
  38.279722   47.905833 EGVON
  35.026667   52.065556 ELEDI
  26.406667   52.859167 ELIDU
  35.679444   50.354722 ELIPO
  26.351389   53.750556 ELIRA
  31.390278   59.989444 ELOKA
  34.526389   51.363333 ELUSI
  37.280556   50.293611 EMAVI
  35.768056   58.560278 EMESA
  33.969722   56.145833 EMITI
  35.137778   50.025833 ENASU
  35.869722   46.455000 ENEDA
  26.067778   55.798611 GABKO
  37.687500   49.181111 GABMI
  30.888611   48.509722 GABSU
  32.279167   50.782222 GADLU
  31.452500   54.550556 GADPU
  26.713056   60.632500 GENEV
  33.405833   48.450278 GENUM
  31.765556   52.066389 GESIP
  30.195833   56.373889 GETIS
  37.207500   46.858056 GETOB
  33.237500   56.921389 GEVOR
  36.928889   54.375833 GGN
  36.241111   50.042500 GHAZV
  35.536944   54.615556 GIBAB
  27.738611   62.029167 GIBUT
  32.010833   52.007222 GIDEN
  25.618889   57.541944 GIGAB
  38.103333   56.338333 GIRUN
  37.175278   51.685833 GIVSI
  38.013889   48.795556 GIVTA
  30.907222   48.976111 GODMO
  38.342500   46.915833 GODNA
  26.928333   60.670000 GOKSO
  35.617500   51.252500 GOLKI
  35.953056   50.347778 GOLNU
